t,kvaA,kvaB,kvaC 
2022-04-13T11:15-07:00,1818.6533479473212,2182.3840175367854,1818.6533479473212
2022-04-13T11:30-07:00,1818.6533479473212,2303.627574066607,1939.8969044771427
2022-04-13T11:45-07:00,1697.4097914175,2061.140461006964,1939.8969044771427
2022-04-13T12:00-07:00,2061.140461006964,2424.8711305964284,2182.3840175367854
2022-04-13T12:15-07:00,2546.11468712625,3031.0889132455354,2654.6565377338993
2022-04-13T12:30-07:00,487.28362719604416,730.9254407940663,609.1045339950552
2022-04-13T12:45-07:00,1939.8969044771427,2292.657918952004,1930.6593001701087
2022-04-13T13:00-07:00,363.73066958946424,1333.6791218280357,484.9742261192857
2022-04-13T13:15-07:00,363.73066958946424,2061.140461006964,606.2177826491071
2022-04-13T13:30-07:00,363.73066958946424,606.2177826491071,482.6648250425272
2022-04-13T13:45-07:00,363.73066958946424,606.2177826491071,482.6648250425272
2022-04-13T14:00-07:00,365.46272039703314,609.1045339950552,487.28362719604416
2022-04-13T14:15-07:00,365.46272039703314,852.7463475930773,609.1045339950552
2022-04-13T14:30-07:00,365.46272039703314,727.4613391789285,606.2177826491071
2022-04-13T14:45-07:00,363.73066958946424,727.4613391789285,484.9742261192857
2022-04-13T15:00-07:00,363.73066958946424,606.2177826491071,606.2177826491071
2022-04-13T15:15-07:00,367.19477120460203,734.3895424092041,609.1045339950552
2022-04-13T15:30-07:00,365.46272039703314,730.9254407940663,487.28362719604416
2022-04-13T15:45-07:00,365.46272039703314,730.9254407940663,365.46272039703314
2022-04-13T16:00-07:00,2314.59722918121,2558.239042779232,2314.59722918121
2022-04-13T16:15-07:00,1930.6593001701087,2171.9917126913724,1930.6593001701087
2022-04-13T16:30-07:00,1212.4355652982142,1447.9944751275816,1206.662062606318
2022-04-13T16:45-07:00,365.46272039703314,727.4613391789285,484.9742261192857
2022-04-13T17:00-07:00,243.64181359802208,727.4613391789285,363.73066958946424
2022-04-13T17:15-07:00,1454.922678357857,1697.4097914175,1568.6606813882133
2022-04-13T17:30-07:00,243.64181359802208,609.1045339950552,365.46272039703314
2022-04-13T17:45-07:00,365.46272039703314,609.1045339950552,487.28362719604416
2022-04-13T18:00-07:00,367.19477120460203,734.3895424092041,489.59302827280266
2022-04-13T18:15-07:00,1212.4355652982142,1454.922678357857,1212.4355652982142
2022-04-13T18:30-07:00,243.64181359802208,365.46272039703314,365.46272039703314
2022-04-13T18:45-07:00,244.79651413640133,367.19477120460203,365.46272039703314
2022-04-13T19:00-07:00,365.46272039703314,365.46272039703314,365.46272039703314
