t,v,r,s
2022-05-13T10:30:00.185-07:00,12072,0,0
2022-05-13T10:45:00.164-07:00,12073,0,0
2022-05-13T11:00:00.178-07:00,12073,0,0
2022-05-13T11:15:00.155-07:00,12074,0,0
2022-05-13T11:30:00.152-07:00,12074,0,0
2022-05-13T11:45:00.163-07:00,12075,0,0
2022-05-13T12:00:00.193-07:00,12075,0,0
2022-05-13T12:15:00.202-07:00,12076,0,0
2022-05-13T12:30:00.169-07:00,12076,0,0
2022-05-13T12:45:00.216-07:00,12077,0,0
2022-05-13T13:00:00.152-07:00,12078,0,0
2022-05-13T13:15:00.193-07:00,12078,0,0
2022-05-13T13:30:00.327-07:00,12079,0,0
2022-05-13T13:45:00.194-07:00,12079,0,0
2022-05-13T14:00:00.151-07:00,12080,0,0
2022-05-13T14:15:00.183-07:00,12080,0,0
2022-05-13T14:30:00.218-07:00,12081,0,0
2022-05-13T14:45:00.190-07:00,12082,0,0
2022-05-13T15:00:00.133-07:00,12082,0,0
2022-05-13T15:15:00.157-07:00,12083,0,0
2022-05-13T15:30:00.136-07:00,12083,0,0
2022-05-13T15:45:00.131-07:00,12084,0,0
2022-05-13T16:00:00.138-07:00,12085,0,0
2022-05-13T16:15:00.140-07:00,12085,0,0
2022-05-13T16:30:00.152-07:00,12086,0,0
2022-05-13T16:45:00.142-07:00,12092,0,0
2022-05-13T17:00:00.133-07:00,12103,0,0
2022-05-13T17:15:00.169-07:00,12106,0,0
2022-05-13T17:30:00.164-07:00,12111,0,0
2022-05-13T17:45:00.157-07:00,12114,0,0
2022-05-13T18:00:00.169-07:00,12118,0,0
2022-05-13T18:15:00.144-07:00,12121,0,0
2022-05-13T18:30:00.135-07:00,12124,0,0
2022-05-13T18:45:00.151-07:00,12127,0,0
2022-05-13T19:00:00.131-07:00,12130,0,0
2022-05-13T19:15:00.132-07:00,12131,0,0
2022-05-13T19:30:00.294-07:00,12132,0,0
2022-05-13T19:45:00.133-07:00,12132,0,0
2022-05-13T20:00:00.162-07:00,12133,0,0
2022-05-13T20:15:00.144-07:00,12134,0,0
2022-05-13T20:30:00.222-07:00,12134,0,0
2022-05-13T20:45:00.200-07:00,12135,0,0
2022-05-13T21:00:00.145-07:00,12135,0,0
2022-05-13T21:15:00.177-07:00,12136,0,0
2022-05-13T21:30:00.132-07:00,12136,0,0
2022-05-13T21:45:00.161-07:00,12137,0,0
2022-05-13T22:00:00.189-07:00,12138,0,0
2022-05-13T22:15:00.191-07:00,12138,0,0
2022-05-13T22:30:00.240-07:00,12139,0,0
