t,kvaA,kvaB,kvaC 
2022-07-22T23:15-07:00,25581.23572725394,19789.257826743615,21840.583333174356
2022-07-22T23:30-07:00,25098.570902211413,18582.595764137295,20054.83895057084
2022-07-22T23:45-07:00,25338.748614194297,19065.260589179823,21856.171790442473
2022-07-23T00:00-07:00,25943.234346035835,19909.924033004245,22202.58195195625
2022-07-23T00:15-07:00,25699.015182168623,18341.26335161603,20655.283230528054
2022-07-23T00:30-07:00,25336.439213117537,18853.95039065642,21392.559524283206
2022-07-23T00:45-07:00,25218.659758202855,18220.5971453554,19934.750094579398
2022-07-23T01:00-07:00,24858.39319022853,18613.772678673537,19719.398444171668
2022-07-23T01:15-07:00,25460.569520993307,19398.969044771427,21719.917126913722
2022-07-23T01:30-07:00,24738.881684506276,18133.41725470777,20077.932961338425
2022-07-23T01:45-07:00,25338.748614194297,18220.5971453554,20295.016662553728
2022-07-23T02:00-07:00,25819.104038160065,19306.593001701087,21615.99407845959
2022-07-23T02:15-07:00,25575.462224562045,18493.683822682095,20316.955972782933
2022-07-23T02:30-07:00,25819.104038160065,18253.50611069921,20415.10551854517
2022-07-23T02:45-07:00,26059.28175014295,18944.594382919193,21495.905222468147
2022-07-23T03:00-07:00,25218.659758202855,18582.595764137295,19814.661238587956
2022-07-23T03:15-07:00,24858.39319022853,18823.92817665856,19814.661238587956
2022-07-23T03:30-07:00,24619.370178784022,19214.216958630746,21392.559524283206
2022-07-23T03:45-07:00,25338.748614194297,18853.95039065642,21392.559524283206
2022-07-23T04:00-07:00,24858.39319022853,18013.328398716323,19719.398444171668
2022-07-23T04:15-07:00,25216.927707395287,18643.794892671398,21392.559524283206
2022-07-23T04:30-07:00,25814.48523600655,19094.128102639304,21631.58253572771
2022-07-23T04:45-07:00,25575.462224562045,18253.50611069921,20197.44446706068
2022-07-23T05:00-07:00,25336.439213117537,18853.95039065642,21990.117052894468
2022-07-23T05:15-07:00,25218.659758202855,18823.92817665856,21495.905222468147
2022-07-23T05:30-07:00,24858.39319022853,18013.328398716323,19838.90994989392
2022-07-23T05:45-07:00,25819.104038160065,18974.039246647862,22946.209098672487
2022-07-23T06:00-07:00,25218.659758202855,18944.594382919193,21615.99407845959
2022-07-23T06:15-07:00,24978.48204621997,18253.50611069921,19814.661238587956
2022-07-23T06:30-07:00,24977.90469595078,18944.594382919193,21375.816366476705
2022-07-23T06:45-07:00,25458.83747018574,19065.260589179823,21615.99407845959
2022-07-23T07:00-07:00,25338.748614194297,18341.26335161603,20054.83895057084
2022-07-23T07:15-07:00,24738.304334237087,18733.86153466498,21736.08293445103
2022-07-23T07:30-07:00,23771.242633344464,18944.594382919193,21599.250920653092
2022-07-23T07:45-07:00,24253.90745838699,18341.26335161603,19909.924033004245
2022-07-23T08:00-07:00,24137.860054279874,19427.259207961717,21495.905222468147
2022-07-23T08:15-07:00,24012.575045865728,18944.594382919193,21736.08293445103
2022-07-23T08:30-07:00,23304.743615839245,18853.95039065642,19838.90994989392
