Single Line Building Name,Building String,Building code,Building Number,Caltech Building List Name,Substation,Jace,Meter Name (unmodified),Meter Name,Meter Description,Notes,Query Base,Measurements,Measurements Cleaned
Baxter,baxter,BX77,77,BAXTER HALL,Substation 2,BX77_1,EM_77_B1_1,EM_77_B1_1,E100 Meters Building BX77,,https://192.168.10.104/webChart/query/data/history$3a$2fBX77_1$2fEM_77_B1_1_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsAC', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
Bechtel,bechtel,BT14,14,BECHTEL RESIDENCE,Substation 2,BT14_2,ChwBtuMeter_Main,ChwBtuMeter_Main,C065 Meters BT14 Chilled Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBT14_2$2fChwBtuMeter_Main_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Bechtel,bechtel,BT14,14,BECHTEL RESIDENCE,Substation 2,BT14_2,HiTmpChwBtuMeter_Main,HiTmpChwBtuMeter_Main,C066 Meters HighTemp Chilled Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBT14_2$2fHiTmpChwBtuMeter_Main_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Bechtel,bechtel,BT14,14,BECHTEL RESIDENCE,Substation 2,BT14_2,HhwBtuMeter_Main,HhwBtuMeter_Main,H038 Meters BT14 Hot Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBT14_2$2fHhwBtuMeter_Main_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Bechtel,bechtel,BT14,14,BECHTEL RESIDENCE,Substation 2,BT14_2,ChwBtuMeter_BldgF,ChwBtuMeter_BldgF,C067 Meters Bldg F Chilled Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBT14_2$2fChwBtuMeter_BldgF_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Bechtel,bechtel,BT14,14,BECHTEL RESIDENCE,Substation 2,BT14_2,HiTmpChwBtuMeter_BldgF,HiTmpChwBtuMeter_BldgF,C068 Meters Bldg F HighTemp Chilled Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBT14_2$2fHiTmpChwBtuMeter_BldgF_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Bechtel,bechtel,BT14,14,BECHTEL RESIDENCE,Substation 2,BT14_2,HhwBtuMeter_BldgF,HhwBtuMeter_BldgF,H039 Meters Bldg F Hot Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBT14_2$2fHhwBtuMeter_BldgF_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Bechtel,bechtel,BT14,14,BECHTEL RESIDENCE,Substation 2,BT14_2,EM_14_1_1,EM_14_1_1,E008 Meters Building BT14 Main,,https://192.168.10.104/webChart/query/data/history$3a$2fBT14_2$2fEM_14_1_1_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsAC', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
Bechtel,bechtel,BT14,14,BECHTEL RESIDENCE,Substation 2,BT14_2,Pulse Meters,Pulse,Bechtel Residence,,https://192.168.10.104/webChart/query/data/history$3a$2fBT14_2$2fEM_14_1_1_,"['ResColdWtrUsed', 'ResHwUsed', 'NatGasUsed']","['ResColdWtrUsed', 'ResHwUsed', 'NatGasUsed']"
Beckman Auditorium,beckmanAuditorium,BK91,91,BECCKMAN AUDITORIUM,Substation 2,WT95_1,EM_91_1_1,EM_91_1_1,E049 Meters Building BA91,,https://192.168.10.104/webChart/query/data/history$3a$2fWT95_1$2fEM_91_1_1_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsAC', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
