,amenity,geometry,addr:postcode,building,name,website,nodes,official_name,source,source_ref,created_by,building:levels,building:levels:underground,fee,parking,leisure,addr:housenumber,addr:street,addr:city,addr:state,addr:street_direction_prefix,layer,opening_hours,addr:housename,ways,type,wikidata,Osm Centroid Coords,Map Name,Single Line Building Name,Building String,OSM Raw Data Name,Building Number,Caltech Building List Name,Substation,Caltech Campus Map,New Building Name,Notes
10,,"POLYGON ((-118.1240474 34.1383811, -118.1236879 34.1383845, -118.1236879 34.1380859, -118.1240487 34.1380848, -118.1240474 34.1383811))",,yes,Jorgensen Laboratory,,"[331389122, 331389123, 331389125, 331389127, 331389122]",,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,"34.138233986634674,-118.12386774230521",Jorgensen Laboratory,Jorgensen,jorgensen,Jorgensen Laboratory,80,JORGENSEN LABORATORY,Substation 2,,,
11,parking,"POLYGON ((-118.1285923 34.1382132, -118.1281747 34.138215, -118.128175 34.138313, -118.128177 34.1389729, -118.1285932 34.138972, -118.1285923 34.1382132))",,yes,Wilson Parking Structure South,,"[340728980, 340728982, 4840741430, 340728983, 340728985, 340728980]",,,,,4,,yes,multi-storey,,,,,,,,,,,,,"34.13859306265063,-118.12838434122507",Wilson Parking Structure South,,,NAN,124,PKG STR 2-WILSON SOUTH,,Yes,,
12,parking,"POLYGON ((-118.1286266 34.139512, -118.1281745 34.1395157, -118.1281792 34.1399006, -118.1281803 34.1399934, -118.1281836 34.1402641, -118.1286355 34.1402604, -118.1286266 34.139512))",,yes,Wilson Parking Structure North,,"[340730009, 340730010, 4840741432, 4840741435, 340730011, 340730013, 340730009]",,,,,,,yes,multi-storey,,,,,,,,,,,,,"34.13988802434918,-118.1284050517539",Wilson Parking Structure North,,,NAN,123,PKG STR 1-WILSON NORTH,,Yes,,
13,,"POLYGON ((-118.1223147 34.1371401, -118.1224836 34.1371412, -118.1224863 34.1372789, -118.1226969 34.13728, -118.1226969 34.1374576, -118.1228524 34.1374576, -118.1228504 34.1374811, -118.1228498 34.1376119, -118.1228122 34.1376108, -118.1225252 34.1376097, -118.1225239 34.1374199, -118.122316 34.1374199, -118.1223147 34.1371401))",,yes,Venerable House,,"[368342375, 368342378, 368342380, 368342381, 368342382, 571718704, 571718706, 566601867, 571718705, 368342385, 368342386, 368342387, 368342375]",,,,,,,,,,,,,,,,,,,,,"34.13739805719077,-118.12256021249681",Venerable House,North Undergraduate Houses Lloyd,nugHousesLloyd,Ruddock House,55,RUDDOCK HOUSE,Substation 1,,VENERABLE HOUSE replaces RUDDOCK HOUSE,"Combines multiple buildings, Not in single line, only Caltech building list"
14,,"POLYGON ((-118.1225507 34.1369392, -118.122552 34.1370824, -118.1227934 34.1370857, -118.1227948 34.1373066, -118.1228524 34.1373077, -118.1228524 34.1374576, -118.1228504 34.1374811, -118.1230254 34.1374798, -118.1230254 34.1372645, -118.1229691 34.1372633, -118.1229678 34.1369392, -118.1225507 34.1369392))",,yes,Lloyd House,,"[368342735, 368342736, 368342737, 368342738, 368342739, 571718704, 571718706, 368342744, 368342745, 368342746, 368342747, 368342735]",,,,,,,,,,,,,,,,,,,,,"34.13715809996249,-118.1228409940924",Lloyd House,North Undergraduate Houses Lloyd,nugHousesLloyd,Lloyd House,54,LLOYD HOUSE,Substation 1,,,"Combines multiple buildings, Not in single line, only Caltech building list"
15,,"POLYGON ((-118.123173 34.1369448, -118.1231703 34.137482, -118.1231689 34.1375264, -118.1233406 34.1375242, -118.1233419 34.1373089, -118.1234157 34.13731, -118.1234157 34.1373721, -118.12359 34.1373721, -118.1235914 34.1371712, -118.123346 34.1371679, -118.1233433 34.1369437, -118.123173 34.1369448))",,yes,Page House,,"[368343005, 571718703, 566601864, 368343006, 368343007, 368343008, 368343010, 368343011, 368343012, 368343014, 368343015, 368343005]",,,,,,,,,,,,,,,,,,,,,"34.13724359094166,-118.12332568781127",Page House,North Undergraduate Houses Lloyd,nugHousesLloyd,Page House,53,PAGE HOUSE,Substation 1,,,"Combines multiple buildings, Not in single line, only Caltech building list"
16,,"POLYGON ((-118.1232232 34.136256, -118.1233855 34.136256, -118.1233869 34.1363881, -118.1235156 34.1363892, -118.1235129 34.1361206, -118.1233936 34.1361261, -118.1233828 34.1361339, -118.1231906 34.1361329, -118.1231904 34.1361164, -118.1230844 34.1361147, -118.1230824 34.1361947, -118.1229443 34.1361947, -118.1229443 34.1362946, -118.1230791 34.1362951, -118.1230791 34.1363873, -118.1232206 34.136387, -118.1232232 34.136256))",,yes,Dabney House,,"[368343992, 368343993, 368343994, 368343995, 368343996, 368343997, 368343998, 368343999, 368344000, 368344001, 368344002, 368344003, 368344004, 368344005, 368344006, 368344007, 368343992]",,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,"34.136242316562,-118.12325849201638",Dabney House,South Undergraduate Houses,sugHouses,Dabney House,58,DABNEY HOUSE,Substation 1,,,"Combines multiple buildings, Not in single line, only Caltech building list"
17,,"POLYGON ((-118.1226868 34.1363884, -118.1228068 34.1363911, -118.1228068 34.1362951, -118.1229443 34.1362946, -118.1229443 34.1361947, -118.1228028 34.1361902, -118.1228008 34.136102, -118.1226928 34.1361009, -118.1226928 34.1361297, -118.122461 34.1361257, -118.122424 34.1361214, -118.1223361 34.136117, -118.1223341 34.1363079, -118.1224669 34.1363068, -118.1224669 34.1362474, -118.1226667 34.1362479, -118.122666 34.1362885, -118.1226855 34.1362896, -118.1226868 34.1363884))",,yes,Blacker House,,"[368344084, 368344085, 368344086, 368344004, 368344003, 368344087, 368344088, 368344089, 368344090, 368344274, 368344275, 368344276, 368344277, 368344278, 368344279, 368344280, 3704238352, 3704238351, 368344084]",,,,,,,,,,,,,,,,,,,,,"34.13622324432469,-118.12263383046636",Blacker House,South Undergraduate Houses,sugHouses,Blacker House,60,BLACKER HOUSE,Substation 1,,,"Combines multiple buildings, Not in single line, only Caltech building list"
18,,"POLYGON ((-118.1265425 34.1339587, -118.1260034 34.1339598, -118.1260047 34.133921, -118.1257271 34.1339182, -118.1257271 34.1336324, -118.1261817 34.1336335, -118.1261817 34.1336868, -118.1265438 34.1336868, -118.1265425 34.1339587))",,yes,Brown Gym,,"[566600664, 1375679879, 1375679888, 566600667, 566600669, 1375679872, 1375679883, 566600671, 566600664]",,,,,,,,,sports_centre,,,,,,,,,,,,"34.13380063568636,-118.12612879923874",Brown Gym,Brown Gym,brownGym,Brown Gym,1,BROWN GYM,Substation 4,,,
19,,"POLYGON ((-118.1277669 34.1341508, -118.1273579 34.1341552, -118.1273565 34.134123, -118.1272385 34.1339665, -118.1271715 34.1339621, -118.1271755 34.1336823, -118.1273337 34.1336834, -118.1273834 34.1336313, -118.1278031 34.1336279, -118.1278031 34.1338944, -118.1277669 34.1338977, -118.1277669 34.1341508))",,yes,Braun Athletic Center,,"[566600677, 566600678, 3704238387, 3704238388, 566600680, 566600682, 3704238389, 3704238390, 566600683, 3704238386, 3704238385, 566600677]",,,,,,,,,sports_centre,,,,,,,,,,,,"34.13387917147532,-118.12750758556477",Braun Athletic Center,Braun Gym,braunGym,Braun Athletic Center,3,BRAUN ATHLETIC CENTER,Substation 4,,,
20,,"POLYGON ((-118.1220993 34.138137, -118.1216939 34.138137, -118.1216977 34.1380302, -118.1218331 34.1380337, -118.1218336 34.1379934, -118.1219893 34.1379961, -118.1219928 34.1380343, -118.1220994 34.1380331, -118.1220993 34.138137))",,yes,Marks House,,"[566600726, 566600728, 566600730, 566600733, 566600735, 566600737, 566600738, 566600740, 566600726]",,,,,,,,,,,,,,,,,,,,,"34.13807608114134,-118.1218985552954",Marks House,Marks House,marksHouse,Marks House,89,MARKS HOUSE,Substation 2,,,
21,doctors,"POLYGON ((-118.1250726 34.1355006, -118.1249385 34.135515, -118.1248983 34.1352664, -118.1248084 34.135293, -118.1247709 34.1352087, -118.1251249 34.1351076, -118.1251585 34.1351898, -118.1250297 34.1352253, -118.1250726 34.1355006))",,yes,Young Student Health Center,,"[566600748, 566600750, 566600752, 566600753, 566600755, 566600760, 566600762, 566600765, 566600748]",,,,,,,,,,,,,,,,,,,,,"34.135292314791606,-118.12497546649683",Young Student Health Center,Arden House,ardenHouse,Young Student Health Center,8,YOUNG HEALTH CLINIC,Substation 4,,,Combines multiple buildings
22,,"POLYGON ((-118.1276099 34.1357471, -118.1270148 34.1357441, -118.1270152 34.1355113, -118.1276085 34.1355121, -118.1276099 34.1357471))",,yes,Keith Spalding,,"[566600789, 566600793, 566600795, 566600797, 566600789]",,,,,3,,,,,,,,,,,,,,,,"34.13562871037727,-118.12731256465095",Keith Spalding,Keith Spalding,keithSpalding,Keith Spalding,6,KEITH SPALDING BUILDING,Substation 1,,,
23,,"POLYGON ((-118.1266532 34.1357172, -118.1265238 34.1357101, -118.1262114 34.1357041, -118.125875 34.1357306, -118.1259034 34.1355361, -118.1259097 34.1353975, -118.1264066 34.135415, -118.1266592 34.1354025, -118.1266532 34.1357172))",,yes,Cahill Center,,"[566600800, 844352118, 844352136, 566600801, 844352093, 566600803, 844352250, 566600807, 566600800]",,survey;image,AM909_DSCV2792,,3,,,,,,,,,,,,,,,,"34.1355607900729,-118.12627180676812",Cahill Center,Cahill,cahill,Cahill Center,17,CAHILL CENETER,Substation 4,,,
24,,"POLYGON ((-118.1237604 34.1395256, -118.1236464 34.1395278, -118.123645 34.1394934, -118.1230898 34.13949, -118.1230885 34.1393779, -118.1230563 34.1393779, -118.123059 34.1392192, -118.1233245 34.1392203, -118.1233245 34.1390716, -118.1234137 34.1390681, -118.123417 34.1390449, -118.1236437 34.1390449, -118.123645 34.1391137, -118.1236946 34.1391171, -118.1236933 34.1391837, -118.1237617 34.1391837, -118.1237604 34.1395256))",,yes,Center for Engineering Services,,"[566600816, 571721069, 571721070, 566600817, 571721071, 571721072, 566600818, 566600824, 566600825, 571721073, 571721074, 571721075, 571721076, 571721077, 571721078, 566600826, 566600816]",,usgs_imagery;survey;image,AM909_DSCV2808,,,,,,,367,South Holliston Avenue,,,,,,,,,,"34.139304985183955,-118.12344442701355",Center for Engineering Services,Center for Engineering Services,ces,Central Engineering,85,CENTRAL ENGINEERING SERVICES,Substation 2,,,
25,,"POLYGON ((-118.12347114086151 34.13884417259201, -118.12347918748856 34.13828694801814, -118.12335044145584 34.13828472799258, -118.12334239482878 34.138224787280116, -118.12301248311995 34.138220347225655, -118.12301784753798 34.13840238926748, -118.12308758497237 34.13840904933476, -118.12307685613632 34.138659911486165, -118.12301784753798 34.138666571533136, -118.12301248311995 34.138841952581075, -118.12347114086151 34.13884417259201))",91106,yes,Physical Plant & HR,,"[566600827, 566600828, 4003035629, 4003035630, 4003035625, 4003035624, 566600829, 566600830, 566600831, 566600832, 566600833, 566600834, 566600835, 566600836, 844352050, 844352117, 566600827]",,usgs_imagery;survey;image,AM909_DSCV2805,,,,,,,399,Holliston Ave,Pasadena,CA,S,,,,,,,"34.138540888974696,-118.12325304984641",Physical Plant & HR,HR,physicalPlantHR,HR,84,HUMAN RESOURCES AND FACILITIES SHOPS,Substation 2,,,
26,,"POLYGON ((-118.1225582 34.1388792, -118.1224194 34.1388796, -118.1224181 34.1385733, -118.1223283 34.1385736, -118.122328 34.138498, -118.1224191 34.1384977, -118.1224177 34.1381808, -118.1225385 34.1381804, -118.1225385 34.13817, -118.122589 34.1381699, -118.1225904 34.1384962, -118.1226232 34.1384961, -118.1226235 34.1385753, -118.1225569 34.1385755, -118.1225582 34.1388792))",,yes,Center for Student Services,,"[566600837, 566600838, 566600839, 566600840, 566600841, 566600842, 566600845, 4003035623, 4003035622, 566600846, 4003035627, 4003035626, 4003035628, 566600847, 566600837]",,,,,,,,,,414,South Holliston Avenue,,,,,,,,,,"34.1385125691564,-118.12249356024893",Center for Student Services,Center for Student Services,css,Center for Student Services,86,CENTER FOR STUDENT SERVICES,Substation 2,,,
27,,"POLYGON ((-118.1225369 34.1381118, -118.1221507 34.1381118, -118.1221593 34.1379982, -118.1225369 34.1379982, -118.1225369 34.1381118))",,yes,Braun House,,"[566600852, 566600854, 566600856, 566600858, 566600852]",,,,,,,,,,,,,,,,,,,,,"34.13805521317972,-118.12234594193073",Braun House,Braun House,braunHouse,Braun House,88,BRAUN HOUSE,Substation 2,,,
28,,"POLYGON ((-118.1262655 34.1372911, -118.1261985 34.1372922, -118.1261985 34.13732, -118.1261086 34.13732, -118.1260617 34.1373211, -118.1260617 34.1372922, -118.1259987 34.13729, -118.1259987 34.1371901, -118.1262696 34.1371912, -118.1262655 34.1372911))",,yes,Gates Annex,,"[571718698, 601850670, 566600862, 601850673, 566600863, 601850675, 571719137, 566600936, 566600931, 571718698]",,,,,,,,,,,,,,,,,,,,,"34.1372491314329,-118.12613261108667",Gates Annex,,,Gates Annex,26,GATES ANNEX,Substation 1,Yes,,"Not in Single Line, sits between Parson-Gates and Crellin, called Gates Laboratory of Chemistry Annex"
29,,"POLYGON ((-118.1275996 34.1383928, -118.1272452 34.1383926, -118.1272469 34.1377813, -118.1275997 34.1377823, -118.1276001 34.1379269, -118.1276603 34.1379272, -118.1276593 34.1382483, -118.1275986 34.1382479, -118.1275996 34.1383928))",,yes,Braun Lab,,"[566600869, 566600874, 566600876, 566600877, 571720398, 571720399, 571720400, 571720401, 566600869]",,,,,2,,,,,,,,,,,,,,,,"34.138087360444004,-118.12743976168382",Braun Lab,Braun Lab,braunLab,Braun Labs,75,BRAUN LABORATORIES,Substation 2,,,"Full name on campus map: Braun Laboratories in Memory of Carl F and Winifred H Braun; Currently in Substation 2, will be moved to Substation 3"
30,,"POLYGON ((-118.1265274 34.1383532, -118.126168 34.1383588, -118.1261666 34.1383111, -118.1261988 34.13831, -118.1261975 34.1382089, -118.1261707 34.1382078, -118.126168 34.1381246, -118.1261412 34.1381235, -118.1261371 34.1381013, -118.1261693 34.1380258, -118.1262136 34.1379758, -118.1266441 34.1379281, -118.1266508 34.1379681, -118.1266172 34.1379747, -118.1266427 34.1381235, -118.1266012 34.1381268, -118.1266012 34.1381501, -118.1265797 34.1381512, -118.126569 34.1382034, -118.1265556 34.1382045, -118.1265515 34.1383166, -118.1265287 34.1383177, -118.1265274 34.1383532))",,yes,Schlinger,,"[566600881, 3704238337, 3704238336, 3704238335, 3704238334, 3704238333, 3704238332, 566600890, 844352217, 3704238327, 566600892, 566600893, 3704238328, 3704238329, 844352064, 3704238330, 3704238331, 3704238342, 3704238341, 3704238340, 3704238339, 3704238338, 566600881]",,,,,,,,,,,,,,,,,,,,,"34.13814308401542,-118.12638922696493",Schlinger,Schlinger,schlinger,Schlinger,20,SCHLINGER LABORATORY,Substation 3,,,
31,,"POLYGON ((-118.1241473 34.1399025, -118.1235265 34.1398998, -118.1235269 34.1398299, -118.1235569 34.1398296, -118.1235587 34.1396453, -118.1241462 34.1396477, -118.1241473 34.1399025))",,yes,Annenberg,,"[566600902, 566600903, 3704238357, 3704238356, 566600904, 566600905, 566600902]",,,,,3,,,,,,,,,,,,,,,,"34.13977523504392,-118.12384786242514",Annenberg,Annenberg,annenberg,Annenberg Center for Information Science and Technology,16,ANNENBERG CENTER,Substation 2,,,
32,,"POLYGON ((-118.1275993 34.1371962, -118.1272895 34.1371929, -118.1271232 34.137194, -118.1268429 34.1371918, -118.1268402 34.1372672, -118.1266981 34.1372661, -118.1267021 34.1371906, -118.126456 34.1371901, -118.1264332 34.137191, -118.1264365 34.1370352, -118.1276046 34.1370397, -118.1275993 34.1371962))",,yes,Kerckhoff,,"[566600906, 571720358, 571720357, 566600907, 566600908, 566600909, 566600910, 566600932, 566600911, 566600912, 566600914, 566600906]",,,,,,,,,,,,,,,,,,,,,"34.137121364180416,-118.12700532758366",Kerckhoff,Kerckhoff/Alles,kerckhoffAlles,Kerckhoff,27,KERCKHOFF LABORATORY,Substation 1,,,Combines 3 buildings in Caltech building list
33,,"POLYGON ((-118.1275999 34.1375897, -118.1265914 34.1375886, -118.1265901 34.1375242, -118.1265928 34.1374487, -118.1271171 34.1374476, -118.1272848 34.1374476, -118.1276013 34.1374476, -118.1275999 34.1375897))",,yes,Church,,"[566600918, 566600920, 571718701, 566600922, 571720356, 571720359, 566600924, 566600918]",,,,,,,,,,,,,,,,,,,,,"34.13751852001575,-118.12709718977705",Church,Church,church,Church,29,CHURCH LABORATORY,Substation 1,,,
34,,"POLYGON ((-118.1271171 34.1374476, -118.1271232 34.137194, -118.1272895 34.1371929, -118.1272848 34.1374476, -118.1271171 34.1374476))",,yes,Alles,,"[571720356, 571720357, 571720358, 571720359, 571720356]",,,,,,,,,,,,,,,,,,,,,"34.13732070532738,-118.12720370665447",Alles,Kerckhoff/Alles,kerckhoffAlles,Alles,28,ALLES LABORATORY,Substation 1,,,Combines 3 buildings in Caltech building list
35,,"POLYGON ((-118.1264573 34.1375442, -118.1262655 34.1375453, -118.1262655 34.1372911, -118.1262696 34.1371912, -118.1264332 34.137191, -118.126456 34.1371901, -118.12646 34.1374498, -118.1265928 34.1374487, -118.1265901 34.1375242, -118.1264587 34.1375231, -118.1264573 34.1375442))",,yes,Crellin,,"[566600929, 566600930, 571718698, 566600931, 566600911, 566600932, 571718699, 566600922, 571718701, 571718702, 566600929]",,,,,,,,,,,,,,,,,,,,,"34.13738366334563,-118.12638281509237",Crellin,Crellin,crellin,Crellin,30,CRELLIN LABORATORY,Substation 1,,,
36,,"POLYGON ((-118.126 34.1375409, -118.1258069 34.1375431, -118.1258041 34.1371912, -118.1259987 34.1371901, -118.1259987 34.13729, -118.126 34.1375409))",,yes,Parsons-Gates,,"[566600933, 566600934, 566600935, 566600936, 571719137, 566600933]",,,,,2,,,,,,,,,,,,,,,,"34.13736612444347,-118.1259022801894",Parsons-Gates,Parsons Gates,parsonsGates,Parsons-Gates,31,PARSONS-GATES HALL OF ADMINISTRATION,Substation 1,,,
37,,"POLYGON ((-118.1276424 34.1364921, -118.1275996 34.1364901, -118.1275966 34.136541, -118.1274641 34.1365459, -118.1274632 34.1362321, -118.1271391 34.1362319, -118.1271403 34.1360447, -118.127704 34.1360457, -118.1277015 34.1362308, -118.1276378 34.1362308, -118.1276424 34.1364921))",,yes,South Mudd,,"[571720489, 571720490, 571720491, 571720492, 566600942, 566600943, 566600944, 566600945, 566600946, 566600947, 571720489]",,,,,3,,,,,,,,,,1,,,,,,"34.13622008900035,-118.12746362767571",South Mudd,South Mudd,southMudd,South Mudd,21,"MUDD LABORATORY, SOUTH",Substation 1,,,
38,,"POLYGON ((-118.1268456 34.1367056, -118.1264325 34.1367067, -118.1264325 34.1365499, -118.1264607 34.1365503, -118.1266122 34.1365524, -118.1266109 34.1364425, -118.1267597 34.1364436, -118.1267597 34.1365546, -118.1268456 34.1365535, -118.1268456 34.1367056))",,yes,Arms,,"[566600968, 566600969, 566600970, 1375679900, 566600973, 566600975, 566600977, 566600978, 566600984, 566600968]",,,,,,,,,,,,,,,,,,,,,"34.13660246930735,-118.12664759045923",Arms,Arms ,arms,Arms,25,ARMS LABORATORY,Substation 1,,,
39,,"POLYGON ((-118.127082 34.136539, -118.1270622 34.1365409, -118.1268978 34.1365412, -118.1268932 34.1361977, -118.1270876 34.136201, -118.127082 34.136539))",,yes,Linde + Robinson Environmental,,"[566600989, 566600997, 566600991, 566600993, 566600994, 566600989]",,,,,,,,,,,,,,,,,,,,,"34.136368600991744,-118.12698995610666",Linde + Robinson Environmental,Linde + Robinson,lindeRobinson,Linde + Robinson,24,LINDE+ROBINSON LABORATORY,Substation 1,,Ronald and Maxine Linde Laboratry for Global and Environemental Science,
40,,"POLYGON ((-118.1276069 34.1367045, -118.1270597 34.1367055, -118.1270622 34.1365409, -118.127082 34.136539, -118.1274641 34.1365459, -118.1275966 34.136541, -118.1276055 34.1365411, -118.1276069 34.1367045))",,yes,North Mudd,,"[566600995, 566600996, 566600997, 566600989, 571720492, 571720491, 7876905193, 566600995]",,,,,,,,,,,,,,,,,,,,,"34.13662387433993,-118.12733202368575",North Mudd,North Mudd,northMudd,North Mudd,23,"MUDD LABORATORY, NORTH",Substation 1,,,
41,,"POLYGON ((-118.124044 34.1366001, -118.1237771 34.1366001, -118.1237731 34.1361072, -118.124044 34.1361028, -118.124044 34.136236, -118.124044 34.1366001))",,yes,Synchrotron,,"[566601002, 566601003, 566601004, 571720331, 566601077, 566601002]",,,,,,,,,,,,,,,,,,,,,"34.136351931941114,-118.12390974516707",Synchrotron,Synchrotron,synchrotron,Synchrotron,49,SYNCHROTRON,Substation 1,,,
42,,"POLYGON ((-118.1240816 34.1366734, -118.1240816 34.1367133, -118.1236846 34.1367111, -118.1236819 34.1366001, -118.1237771 34.1366001, -118.124044 34.1366001, -118.1241955 34.1366034, -118.1241996 34.1366767, -118.1240816 34.1366734))",,yes,Firestone,,"[571720326, 571720327, 566601011, 571720328, 566601003, 566601002, 571720329, 571720330, 571720326]",,,,,,,,,,,,,,,,,,,,,"34.136653356816204,-118.12392384915535",Firestone,Firestone Laboratory,firestone ,Firestone,50,FIRESTONE LABORATORY,Substation 1,,,
