,Unnamed: 0,Single Line Building Name,Building String,Build 3-letter code,Building Number,Caltech Building List Name,Jaces,Substation,New Building Name,Notes,Unnamed: 0.1,name,building,type,geometry
64,57,Braun Lab,,,,,,Substation 3,,Duplicate?,,,,,
65,58,Broad Center,broadCenter,,96,BROAD CENTER FOR BIOLOGICAL SCIENCES,,Substation 3,,,11.0,Broad Center,yes,,"POLYGON ((-118.1276021 34.1399352, -118.1276483 34.1399342, -118.1276529 34.139596, -118.1271156 34.1395954, -118.1271117 34.1399311, -118.1271604 34.1399329, -118.127158 34.1399554, -118.1276012 34.139957, -118.1276021 34.1399352))"
66,59,Chen,Chen,,18,CHEN NEUROSCIENCE RESEARCH BUILDING (CNRB),,Substation 3,,,251.0,Chen Neuroscience Research Building,yes,,"POLYGON ((-118.1276122 34.1407986, -118.1276095 34.1402059, -118.1267861 34.1402059, -118.1267861 34.1404412, -118.1273252 34.1404434, -118.1273225 34.1407986, -118.1276122 34.1407986))"
67,60,Schlinger Switchgear,schlingerSwitchgear,,,,,Substation 3,,,,,,,
68,61,1.2MW Fuel Cell FC #2 Wilson Ave,,,,,,Substation 3,,,,,,,
69,62,833KW Solar PV Wilson Ave,,,,,,Substation 3,,,,,,,
70,63,Substation 4,substation4,,None,None,,Substation 4,,"Not in any list, only single line",,,,,
71,64,Arden House,ardenHouse,,,,,Substation 4,,,,,,,
72,65,Parking Structure,parkingStructure4,,66,PARKING STRUCTURE 4,,Substation 4,,,104.0,Parking and Security Office,yes,,"POLYGON ((-118.1284674 34.1370731, -118.1284683 34.1370233, -118.12838 34.1370223, -118.1283809 34.1370728, -118.1284674 34.1370731))"
73,66,Brown Gym,brownGym,,1,BROWN GYM,,Substation 4,,,,Brown Gym,yes,,"POLYGON ((-118.1265425 34.1339587, -118.1265438 34.1336868, -118.1261817 34.1336868, -118.1261817 34.1336335, -118.1257271 34.1336324, -118.1257271 34.1339182, -118.1260047 34.133921, -118.1260034 34.1339598, -118.1265425 34.1339587))"
74,67,Child Care Center,childCareCenter,,133,CCC-CHILDCARE CENTER,,Substation 4,,,,Caltech Children's Center,yes,,"POLYGON ((-118.1253409 34.1343328, -118.1253435 34.1341053, -118.1252698 34.1341019, -118.1252684 34.134082, -118.1251491 34.1340853, -118.1251477 34.134486, -118.1252255 34.1344882, -118.1252269 34.1343339, -118.1253409 34.1343328))"
75,68,Braun Gym,braunGym,,3,BRAUN ATHLETIC CENTER,,Substation 4,,,,Braun Athletic Center,yes,,"POLYGON ((-118.1277669 34.1341508, -118.1277669 34.1338977, -118.1278031 34.1338944, -118.1278031 34.1336279, -118.1273834 34.1336313, -118.1273337 34.1336834, -118.1271755 34.1336823, -118.1271715 34.1339621, -118.1272385 34.1339665, -118.1273565 34.134123, -118.1273579 34.1341552, -118.1277669 34.1341508))"
76,69,Morrisroe IPAC,morrisroeIPAC,,22,MORRISROE LABORATORY,,Substation 4,,,,Morrisroe,yes,,"POLYGON ((-118.127802 34.1335482, -118.1278019 34.1329214, -118.1275111 34.1329243, -118.1275249 34.1335526, -118.127802 34.1335482))"
77,70,Cahill,cahill,,17,CAHILL CENETER,,Substation 4,,,31.0,Cahill Center,yes,,"POLYGON ((-118.1266532 34.1357172, -118.1266592 34.1354025, -118.1264066 34.135415, -118.1259097 34.1353975, -118.1259034 34.1355361, -118.125875 34.1357306, -118.1262114 34.1357041, -118.1265238 34.1357101, -118.1266532 34.1357172))"
77,70,Cahill,cahill,,17,CAHILL CENETER,,Substation 4,,,31.0,Cahill Center,yes,,"POLYGON ((-118.1266532 34.1357172, -118.1266592 34.1354025, -118.1264066 34.135415, -118.1259097 34.1353975, -118.1259034 34.1355361, -118.125875 34.1357306, -118.1262114 34.1357041, -118.1265238 34.1357101, -118.1266532 34.1357172))"
78,71,1MW Fuel Cell #1,,,,,,Substation 4,,Duplicate from Sub 2 & 3?,,,,,
79,72,Central Plant,centralPlant,,5,CENTRAL PLANT,,Central Plant,,,,,,,
80,73,Satellite Plant,satellitePlant,,066B,SATELLITE UTILITY PLANT,,Satellite Plant,,,,,,,
81,74,365/315 S Hill St,hillSt315,,,,,Satellite Plant,,,,,,,
82,75,225KW Solar PV,,,,,,Satellite Plant,,,4.0,Del Mar Townhouse,yes,multipolygon,"POLYGON ((-118.126571 34.1417576, -118.12656 34.1411494, -118.1265362 34.1411497, -118.1265357 34.1411219, -118.1265227 34.1411221, -118.1265225 34.1411123, -118.1261346 34.1411169, -118.1261348 34.1411253, -118.1261227 34.1411255, -118.1261232 34.1411524, -118.1260977 34.1411527, -118.1261074 34.1417618, -118.1261316 34.1417615, -118.126132 34.1417898, -118.126145 34.1417897, -118.1261452 34.1417991, -118.1265303 34.1417947, -118.1265302 34.1417857, -118.1265419 34.1417855, -118.1265414 34.1417579, -118.126571 34.1417576), (-118.1263166 34.1413198, -118.1263005 34.14132, -118.1263012 34.1413567, -118.1262514 34.1413573, -118.1262488 34.1412124, -118.1263146 34.1412116, -118.1263166 34.1413198), (-118.1264184 34.1413553, -118.1263483 34.1413561, -118.1263457 34.141211, -118.1264159 34.1412102, -118.1264184 34.1413553), (-118.1263217 34.1415284, -118.1262526 34.1415288, -118.1262515 34.1413862, -118.1263206 34.1413858, -118.1263217 34.1415284), (-118.1264195 34.1415287, -118.1263504 34.1415294, -118.1263482 34.1413838, -118.1264173 34.1413831, -118.1264195 34.1415287), (-118.1263229 34.1417011, -118.1262533 34.1417014, -118.1262522 34.1415567, -118.1263218 34.1415564, -118.1263229 34.1417011), (-118.1264209 34.1417014, -118.1263531 34.1417021, -118.1263515 34.141596, -118.1263686 34.1415959, -118.126368 34.1415558, -118.1264187 34.1415553, -118.1264209 34.1417014))"
83,76,Quantum Computing Lab,quantumLab,,143,AWS QUANTUM COMPUTING FACILITY (LAX43),,Satellite Plant,,,252.0,AWS Center for Quantum Computing,yes,,"POLYGON ((-118.1227572 34.140418, -118.1221409 34.1404245, -118.1221485 34.1409207, -118.1227649 34.1409141, -118.1227572 34.140418))"
