t,kvaA,kvaB,kvaC 
2022-06-20T13:00-07:00,2934.094068021678,0.0,6147.625666331135
2022-06-20T13:15-07:00,3003.953450593623,0.0,6147.625666331135
2022-06-20T13:30-07:00,3492.9691285972362,0.0,6427.063196618914
2022-06-20T13:45-07:00,3099.2162450099113,0.0,6313.325193588558
2022-06-20T14:00-07:00,3632.6878937411257,0.0,6706.500726906694
2022-06-20T14:15-07:00,5029.87554518002,0.0,8662.563438921146
2022-06-20T14:30-07:00,4121.703571744739,0.0,6846.219492050583
2022-06-20T14:45-07:00,3423.1097460252913,0.0,6007.906901187246
2022-06-20T15:00-07:00,3702.54727631307,0.0,6427.063196618914
2022-06-20T15:15-07:00,3073.8128331655676,0.0,5752.1407319362415
2022-06-20T15:30-07:00,3353.250363453347,0.0,6985.9382571944725
2022-06-20T15:45-07:00,3632.6878937411257,0.0,6985.9382571944725
2022-06-20T16:00-07:00,3562.8285111691807,0.0,6539.646499110891
2022-06-20T16:15-07:00,3949.0758412570403,0.0,6678.787913985591
2022-06-20T16:30-07:00,3143.6722157375125,0.0,5611.844616523163
2022-06-20T16:45-07:00,3394.819582835,0.0,6539.646499110891
2022-06-20T17:00-07:00,2771.281292110204,0.0,5704.798009862692
2022-06-20T17:15-07:00,3048.4094213212243,0.0,6400.505084236192
2022-06-20T17:30-07:00,2654.6565377338993,0.0,6007.906901187246
2022-06-20T17:45-07:00,2632.7172275046937,0.0,6678.787913985591
2022-06-20T18:00-07:00,2375.2190074461205,0.0,5983.080839612092
2022-06-20T18:15-07:00,2934.094068021678,0.0,6957.070743734991
2022-06-20T18:30-07:00,2632.7172275046937,0.0,5983.080839612092
2022-06-20T18:45-07:00,2840.563324412959,0.0,6512.511036458979
2022-06-20T19:00-07:00,2909.845356715714,0.0,6096.8188426424485
2022-06-20T19:15-07:00,2771.281292110204,0.0,6096.8188426424485
2022-06-20T19:30-07:00,2840.563324412959,0.0,5795.442002125464
2022-06-20T19:45-07:00,2445.0783900180654,0.0,5565.656594987992
2022-06-20T20:00-07:00,2701.9992598074487,0.0,6261.363669361492
2022-06-20T20:15-07:00,2355.589098293673,0.0,5426.515180113292
2022-06-20T20:30-07:00,2632.7172275046937,0.0,5958.254778036939
2022-06-20T20:45-07:00,2494.1531628991834,0.0,5287.3737652385935
