t,kvaA,kvaB,kvaC 
2022-04-10T15:15-07:00,22261.029920520057,20500.55544617619,26132.429398593544
2022-04-10T15:30-07:00,22996.87661041849,19026.76718337174,22347.30234138693
2022-04-10T15:45-07:00,23107.27507903028,18238.06993933105,24384.518387103137
2022-04-10T16:00-07:00,23107.12052854221,18492.53228034256,22424.70345687347
2022-04-10T16:15-07:00,22897.996348251014,20004.647457308383,21934.75846261927
2022-04-10T16:30-07:00,23499.77812819283,19482.89707234488,23674.70945476436
2022-04-10T16:45-07:00,22455.475065298448,17186.626252545055,21486.971219449748
2022-04-10T17:00-07:00,22322.464225029205,18733.1225293545,21106.24321748535
2022-04-10T17:15-07:00,25478.180425527582,19579.419636609367,22001.813718252517
2022-04-10T17:30-07:00,23262.923582952546,18964.71302121857,19824.37151314519
2022-04-10T17:45-07:00,23654.697013931862,19102.954053474787,21533.928404806444
2022-04-10T18:00-07:00,23264.814092047636,21523.520657496923,27151.996636496762
2022-04-10T18:15-07:00,22109.96095980503,17633.955510910855,23151.491920282042
2022-04-10T18:30-07:00,22871.839061986146,20336.816093505295,25540.358407108666
2022-04-10T18:45-07:00,24163.95898944701,21261.388756759134,25027.10912305432
2022-04-10T19:00-07:00,23177.166297797183,21108.692840737822,25452.410570789558
2022-04-10T19:15-07:00,24256.702296840333,20811.541404354306,22270.169996396166
2022-04-10T19:30-07:00,23613.243118303282,20890.30738665569,24317.34645178788
2022-04-10T19:45-07:00,22181.505975643588,19852.681721272704,21213.849015292108
2022-04-10T20:00-07:00,20927.161407877808,20496.43398045429,22440.55602990739
2022-04-10T20:15-07:00,23322.50386654241,21386.223383380013,23996.045920981385
2022-04-10T20:30-07:00,24818.230183520896,20834.688294698015,21839.97985765427
2022-04-10T20:45-07:00,22220.065637656007,17201.71592094985,18028.86945412973
2022-04-10T21:00-07:00,19183.49213921188,15359.636295167802,18599.97036045362
2022-04-10T21:15-07:00,19725.44116403183,16882.274421381513,19008.95983114166
2022-04-10T21:30-07:00,21743.928615705303,18644.18163472614,20389.472922981502
2022-04-10T21:45-07:00,18167.5256004649,17062.560169981076,18534.296291279574
2022-04-10T22:00-07:00,20511.534602577784,17929.009228201987,20148.52515093258
2022-04-10T22:15-07:00,16700.308376133158,15575.609108807184,16394.68585966971
2022-04-10T22:30-07:00,16763.7391930936,15794.192065247027,17829.090315166173
2022-04-10T22:45-07:00,20181.77318579064,19889.662515823657,20242.37767626915
2022-04-10T23:00-07:00,20630.224983014454,18376.732295541366,19702.72534452741
2022-04-10T23:15-07:00,20828.82784224443,18699.40113709499,18766.628629567367
2022-04-10T23:30-07:00,17590.4036001692,17376.404958297855,21319.194184968594
2022-04-10T23:45-07:00,17555.07939135514,14431.071183215627,18158.50046799151
2022-04-11T00:00-07:00,17548.112188639625,14325.863605405155,16968.982516966487
2022-04-11T00:15-07:00,17849.953475568836,15688.674124542704,16669.963775261793
2022-04-11T00:30-07:00,19874.991441894985,17851.932614924102,19081.41399671585
2022-04-11T00:45-07:00,19561.82679630485,17451.593949846927,19182.77382361917
2022-04-11T01:00-07:00,19175.085149826675,15796.811934644345,18081.140787878714
2022-04-11T01:15-07:00,18278.905230616674,15833.07195463765,19050.77722841062
2022-04-11T01:30-07:00,18095.798131601263,15582.627432562014,19752.50886537694
2022-04-11T01:45-07:00,17731.060798808052,18626.99356915715,19943.927265723567
2022-04-11T02:00-07:00,19489.59759348569,17169.458783223272,19775.519151183944
2022-04-11T02:15-07:00,17148.210486753753,15187.525597946014,17785.234353170123
2022-04-11T02:30-07:00,18463.20292768838,17097.49324426266,19361.244049436104
2022-04-11T02:45-07:00,19659.368010801638,17383.139777748413,20781.614665713372
2022-04-11T03:00-07:00,16801.651842239833,15143.583107354189,19887.14585222134
2022-04-11T03:15-07:00,17943.474829870214,15855.733694928456,18405.95453894208
2022-04-11T03:30-07:00,18067.882237661157,18126.644045321656,20353.46109746448
2022-04-11T03:45-07:00,18077.68582068436,17691.236322756453,18666.80630459288
2022-04-11T04:00-07:00,17906.079230184994,14654.20178331239,20246.89000683787
2022-04-11T04:15-07:00,17976.442780727615,15710.645237697256,19780.909328338636
2022-04-11T04:30-07:00,17094.194928401597,15614.259201553265,17519.164243679363
